Close Date,Created Date,Amount,Opportunities Won,Opportunity ID,Account ID,Opportunity Name,Stage,Probability (%),Opportunity Type,Lead Source,Forecast Category,Owner ID,Days In Stage,Fiscal Quarter,Opportunity Owner,Account Name,Account Type,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Industry,Annual Revenue,Account Rating,Days to Close
3/19/2025,9/21/2024,7800247.62,0,006al000004i3KnAAI,001al00000jXbgmAAC,Summit Resellers-Add-On Business-2023-April-58k,Closed Won,100,Add-On Business,,Closed,005al000003E0rKAAS,13,2,Vance Channel,Summit Resellers,Mid-Market,San Francisco,CA,94133,USA,Technology,500000,Warm,179
3/11/2025,1/7/2025,5719428,0,006al000004i3ClAAI,001al00000jXbhlAAC,Omega Systems - New Business - 44K,Discovery,35,New Business,Referral,BestCase,005al000003DxgTAAS,13,4,John Demby,Omega Systems,Partner,San Francisco,CA,94110,USA,Manufacturing,69000000,Warm,63
3/10/2025,2/3/2025,2592018,0,006al000004i3D1AAI,001al00000jXbh1AAC,Roseburg Products  - New Business - 19K,Qualification,20,New Business,Marketing Event,Pipeline,005al000003DxgTAAS,13,4,John Demby,Roseburg Products,Small Business,Las Vegas,NV,89117,USA,Manufacturing,24000000,Warm,35
3/10/2025,12/5/2024,727947,0,006al000004i3D0AAI,001al00000jXbgqAAC,XPower - Services - 5K,Qualification,20,Services,Referral,Pipeline,005al000003DxgTAAS,13,4,John Demby,XPower,Mid-Market,New York,NY,10011,USA,Healthcare & Life Sciences,420000000,Warm,95
3/10/2025,1/19/2025,1515056.4,0,006al000004i3IfAAI,001al00000jXbgeAAC,Southern Solutions - Add-On Business - 12K,Qualification,20,Add-On Business,Marketing Event,Pipeline,005al000003E0rMAAS,13,4,Bill South,Southern Solutions,Mid-Market,Santa Cruz,CA,95062,USA,Technology,1600000,Warm,50
3/10/2025,12/17/2024,1945053,0,006al000004i3CmAAI,001al00000jXbgYAAS,"Datanet, Inc. - Services - 15K",Proposal/Quote,75,Services,Data.com,BestCase,005al000003DxgTAAS,13,4,John Demby,"Datanet, Inc.",Partner,New York,NY,10002,USA,Communications,210000000,Warm,83
3/10/2025,1/15/2025,2240073,0,006al000004hvDfAAI,001al00000jXbgrAAC,Open Source Inc. - Services - 17K,Negotiation,90,Services,Referral,Forecast,005al000003E0s2AAC,13,4,Cindy Central,Open Source Inc.,Mid-Market,Austin,TX,78701,USA,Technology,200000000,Hot,54
2/22/2025,11/26/2024,1760616,0,006al000004i3CMAAY,001al00000jXbhpAAC,"Plasmosis, Inc. - Services - 12K",Negotiation,90,Services,Website,Forecast,005al000003DxgTAAS,13,4,John Demby,"Plasmosis, Inc.",Mid-Market,Silver Spring,MD,20910,USA,Healthcare & Life Sciences,0,Warm,88
2/22/2025,12/9/2024,2062922.4,0,006al000004i3CLAAY,001al00000jXbgVAAS,"Upstyle, Inc. - Add-On Business - 14K",Negotiation,90,Add-On Business,Social Media,Forecast,005al000003DxgTAAS,13,4,John Demby,Upstyle Inc.,Small Business,San Francsico,CA,94105,USA,Retail,240000000,Warm,75
2/22/2025,1/6/2025,989465.4,0,006al000004i3CkAAI,001al00000jXbh1AAC,Roseburg Products  - New Business - 7K,Proposal/Quote,75,New Business,Website,BestCase,005al000003DxgTAAS,13,4,John Demby,Roseburg Products,Small Business,Las Vegas,NV,89117,USA,Manufacturing,24000000,Warm,47
2/22/2025,11/1/2024,1851220.8,0,006al000004i3CnAAI,001al00000jXbhiAAC,Silodyne Company - Services - 13K,Proposal/Quote,75,Services,Referral,BestCase,005al000003DxgTAAS,13,4,John Demby,Silodyne Company,Mid-Market,New York,NY,10023,USA,Healthcare & Life Sciences,1976400000,Warm,113
2/22/2025,12/16/2024,1484683.2,0,006al000004i3CjAAI,001al00000jXbgWAAS,Tech Labs - Services - 14K,Proposal/Quote,75,Services,Referral,BestCase,005al000003DxgTAAS,13,4,John Demby,Tech Labs,Partner,San Francisco,CA,94105,USA,Technology,2400000,Warm,68
2/17/2025,9/21/2024,5458221.45,0,006al000004i3RtAAI,001al00000jXbjYAAS,Silva Ltd-New Business-2023-April-43k,Closed Lost,0,New Business,,Omitted,005al000003E0tGAAS,13,2,Andre Mcgee,Silva Ltd,Small Business,Palmerston North,Manawatu-Wanganui,4410,New Zealand,Banking,,,149
2/17/2025,9/21/2024,5746876.2252,0,006al000004i3CZAAY,001al00000jXbgtAAC,Optos Inc.-Add-On Business-2023-April-50k,Closed Won,100,Add-On Business,,Closed,005al000003DxgTAAS,13,2,John Demby,Optos Inc.,Partner,San Francisco,CA,94121,USA,Healthcare & Life Sciences,550000000,Warm,149
2/8/2025,11/10/2024,5593500,0,006al000004i3D4AAI,001al00000jXbgsAAC,Towson Inc. - Add-On Business - 40K,Qualification,20,Add-On Business,Marketing Event,Pipeline,005al000003DxgTAAS,13,4,John Demby,Towson Inc.,Mid-Market,Alameda,CA,94601,USA,Retail,7100000,Warm,90
2/7/2025,11/13/2024,1779624,0,006al000004i3CNAAY,001al00000jXbh2AAC,Gusto Manufacturing - Add-On Business - 15K,Negotiation,90,Add-On Business,Data.com,Forecast,005al000003DxgTAAS,13,4,John Demby,Gusto Manufacturing,Mid-Market,Madison,WI,53706,USA,Technology,550000000,Warm,86
2/7/2025,10/26/2024,1569229.2,0,006al000004i3D3AAI,001al00000jXbh2AAC,Gusto Manufacturing - Services - 12K,Qualification,20,Services,Cold Call,Pipeline,005al000003DxgTAAS,13,4,John Demby,Gusto Manufacturing,Mid-Market,Madison,WI,53706,USA,Technology,550000000,Warm,104
2/7/2025,12/10/2024,1707829.2,0,006al000004hvDeAAI,001al00000jXbghAAC,Missoula & Sons Inc. - Services - 14K,Proposal/Quote,75,Services,Marketing Event,BestCase,005al000003E0s2AAC,13,4,Cindy Central,Missoula & Sons Inc.,Mid-Market,Chicago,IL,60605,USA,Financial Services,7600000,Warm,59
2/7/2025,10/18/2024,2731212,0,006al000004i3NSAAY,001al00000jXbgrAAC,Open Source Inc. - New Business - 20K,Qualification,20,New Business,Marketing Event,Pipeline,005al000003E0s2AAC,13,4,Cindy Central,Open Source Inc.,Mid-Market,Austin,TX,78701,USA,Technology,200000000,Hot,112
1/22/2025,11/22/2024,1769229,0,006al000004i3D2AAI,001al00000jXbgvAAC,Permadyne - New Business - 14K,Qualification,20,New Business,Cold Call,Pipeline,005al000003DxgTAAS,13,4,John Demby,"Permadyne GmbH, LTD",Partner,Genève,,1205,Switzerland,Healthcare & Life Sciences,850000000,Warm,61
1/22/2025,10/2/2024,2437776,0,006al000004i3CSAAY,001al00000jXbgqAAC,XPower - Add-On Business - 18K,Proposal/Quote,75,Add-On Business,Data.com,BestCase,005al000003DxgTAAS,13,4,John Demby,XPower,Mid-Market,New York,NY,10011,USA,Healthcare & Life Sciences,420000000,Warm,112
1/22/2025,11/6/2024,853221.6,0,006al000004i3CRAAY,001al00000jXbhiAAC,Silodyne Company - Services - 6K,Proposal/Quote,75,Services,Marketing Event,BestCase,005al000003DxgTAAS,13,4,John Demby,Silodyne Company,Mid-Market,New York,NY,10023,USA,Healthcare & Life Sciences,1976400000,Warm,77
1/22/2025,12/8/2024,1707136.2,0,006al000004hvELAAY,001al00000jXbgrAAC,Open Source Inc. - Services - 14K,Negotiation,90,Services,Social Media,Forecast,005al000003E0s2AAC,13,4,Cindy Central,Open Source Inc.,Mid-Market,Austin,TX,78701,USA,Technology,200000000,Hot,45
1/18/2025,10/18/2024,536522.3325,0,006al000004i3qwAAA,001al00000jXbigAAC,Hensley Ltd-New Business-2024-July-5k,Qualification,20,New Business,,Pipeline,005al000003E0tjAAC,13,3,James Wu,Hensley Ltd,Mid-Market,Malaga,Andalusia,29001,Spain,Banking,,,92
1/17/2025,9/21/2024,1866051,0,006al000004hvE2AAI,001al00000jXbhpAAC,"Plasmosis, Inc. - Services - 15K",Closed Lost,0,Services,Social Media,Omitted,005al000003DxgTAAS,13,2,John Demby,"Plasmosis, Inc.",Mid-Market,Silver Spring,MD,20910,USA,Healthcare & Life Sciences,0,Warm,118
1/17/2025,9/7/2024,325713.96,1,006al000004i3J8AAI,001al00000jXbgdAAC,Opportunity Resources Inc - Services - 3K,Closed Won,100,Services,Referral,Closed,005al000003E0rLAAS,13,2,Ely East,Opportunity Resources Inc,Partner,Campinas,SP,13087,Brazil,Healthcare & Life Sciences,890000000,Warm,132
1/15/2025,11/27/2024,8037909,0,006al000004i3IeAAI,001al00000jXbgqAAC,XPower - Add-On Business - 55K,Qualification,20,Add-On Business,Referral,Pipeline,005al000003DxgTAAS,13,4,John Demby,XPower,Mid-Market,New York,NY,10011,USA,Healthcare & Life Sciences,420000000,Warm,49
1/10/2025,12/10/2024,1472625,0,006al000004hvDmAAI,001al00000jXbguAAC,UlyssesNet - Services - 10K,Qualification,20,Services,Data.com,Pipeline,005al000003E0s7AAC,13,4,Paul Partner,UlyssesNet,Partner,King,WA,98117,USA,Technology,480000000,Warm,31
1/10/2025,10/5/2024,5406588,0,006al000004i3OAAAY,001al00000jXbgyAAC,Tyconet - Add-On Business - 40K,Discovery,35,Cross and Upsell,,BestCase,005al000003E0s2AAC,13,4,Cindy Central,Tyconet,Partner,King,WA,98109,USA,Financial Services,370000000,Hot,97
1/5/2025,9/21/2024,1083852,0,006al000004i3IdAAI,001al00000jXbgiAAC,Morpon Brothers - Add-On Business - 8K,Qualification,20,Add-On Business,Social Media,Pipeline,005al000003DxgTAAS,13,4,John Demby,Morpon Brothers,Partner,Sydney,NSW,2007,Australia,Retail,5000000,Warm,106
1/4/2025,10/8/2024,327323.7,0,006al000004i3N0AAI,001al00000jXbgrAAC,Open Source Inc. - Services - 3K,Qualification,20,Services,Referral,Pipeline,005al000003E0s2AAC,13,4,Cindy Central,Open Source Inc.,Mid-Market,Austin,TX,78701,USA,Technology,200000000,Hot,88
10/14/2024,9/30/2024,4528062,0,006al000004i3IcAAI,001al00000jXbgTAAS,Displaytech - Add-On Business - 35K,Qualification,20,Add-On Business,Social Media,Pipeline,005al000003DxgTAAS,13,4,John Demby,Displaytech,Mid-Market,Kings,NY,11213,USA,Technology,3400000000,Warm,92
10/14/2024,11/20/2024,4891020.75,0,006al000004i3LjAAI,001al00000jXbgnAAC,Allied Technologies - New Business - 35K,Proposal/Quote,75,New Business,Social Media,BestCase,005al000003E0rMAAS,13,4,Bill South,Allied Technologies,Partner,Multnomah,OR,97233,USA,Technology,5600000000,Warm,41
10/6/2024,10/18/2024,2514758.4,0,006al000004i3BjAAI,001al00000jXbh1AAC,Roseburg Products  - Services - 18K,Proposal/Quote,75,Services,Website,BestCase,005al000003DxgTAAS,13,4,John Demby,Roseburg Products,Small Business,Las Vegas,NV,89117,USA,Manufacturing,24000000,Warm,66
10/6/2024,11/17/2024,582120,0,006al000004i3BiAAI,001al00000jXbgXAAS,Red Studio Designs - Services - 5K,Proposal/Quote,75,Services,Cold Call,BestCase,005al000003DxgTAAS,13,4,John Demby,Red Studio Designs,Mid-Market,San Francisco,CA,94105,USA,Communications,24000000,Warm,36
10/3/2024,8/27/2024,1325867.4,0,006al000004hvENAAY,001al00000jXbguAAC,UlyssesNet - Add-On Business - 13K,Proposal/Quote,75,Add-On Business,Website,BestCase,005al000003E0s7AAC,13,3,Paul Partner,UlyssesNet,Partner,King,WA,98117,USA,Technology,480000000,Warm,115
10/3/2024,9/12/2024,5922118.125,0,006al000004i3KWAAY,001al00000jXbgqAAC,XPower - Services - 44K,Qualification,20,Services,Website,Pipeline,005al000003DxgTAAS,13,3,John Demby,XPower,Mid-Market,New York,NY,10011,USA,Healthcare & Life Sciences,420000000,Warm,99
10/1/2024,9/8/2024,9835199.946,0,006al000004i3SZAAY,001al00000jXbjfAAC,"Gibson, Stevens and Burch-New Business-2024-September-62k",Negotiation,90,New Business,,Forecast,005al000003E0tNAAS,13,3,Lisa Hartman,"Gibson, Stevens and Burch",Mid-Market,Perth,WA,6000,Australia,Banking,,,101
10/1/2024,9/21/2024,2988414,0,006al000004i3OCAAY,001al00000jXbh0AAC,Goodman Imports - Services - 18K,Closed Won,100,Cross and Upsell,,Closed,005al000003E0s7AAC,13,2,Paul Partner,Goodman Imports,Small Business,Hoboken,NJ,07030,USA,Retail,83000000,Warm,88
9/29/2024,11/4/2024,8181474.2361,0,006al000004i3TLAAY,001al00000jXbiEAAS,Hines Ltd-New Business-2024-September-62k,Negotiation,90,New Business,,Forecast,005al000003E0tnAAC,13,3,Andrea Bowden,Hines Ltd,Mid-Market,Nice,Provence-Alpes-C√¥te d'Azur,06000,France,Technology,,,42
9/28/2024,9/15/2024,1827292.5,0,006al000004i3MoAAI,001al00000jXbh3AAC,Harmon Consulting - New Business - 15K,Qualification,20,New Business,Data.com,Pipeline,005al000003E0rHAAS,13,3,Vanessa Central,Harmon Consulting,Partner,New Orleans,LA,70130,USA,Communications,2400000,Hot,91
9/27/2024,8/28/2024,762189.912,0,006al000004i3kiAAA,001al00000jXbkEAAS,Noble-Johnston-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tJAAS,13,3,Deanna Marsh,Noble-Johnston,Mid-Market,Newcastle,NSW,2300,Australia,Retail,,,108
9/27/2024,9/13/2024,7928625.3354,0,006al000004i3T7AAI,001al00000jXbjUAAS,Valdez Ltd-New Business-2024-September-59k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Valdez Ltd,Small Business,Sydney,NSW,2000,Australia,Manufacturing,,,92
9/26/2024,10/30/2024,37862496.0648,0,006al000004i3slAAA,001al00000jXbjuAAC,Shaw-Herrera-New Business-2024-September-252k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Shaw-Herrera,Mid-Market,Chicago,IL,60007,USA,Retail,,,44
9/26/2024,8/31/2024,9528418.8351,0,006al000004i3UBAAY,001al00000jXbjuAAC,Shaw-Herrera-New Business-2024-September-61k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Shaw-Herrera,Mid-Market,Chicago,IL,60007,USA,Retail,,,104
9/24/2024,10/22/2024,33283308.9204,0,006al000004i3shAAA,001al00000jXbjUAAS,Valdez Ltd-New Business-2024-September-243k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Valdez Ltd,Small Business,Sydney,NSW,2000,Australia,Manufacturing,,,50
9/24/2024,9/8/2024,7013729.25,0,006al000004i3KZAAY,001al00000jXbgwAAC,Employnet - New Business - 56K,Qualification,20,New Business,Referral,Pipeline,005al000003DxgTAAS,13,3,John Demby,Employnet,Partner,Pittsburgh,PA,15219,USA,Financial Services,3600000,Warm,94
